01;DEPARTAMENTO AMAZONAS
02;DEPARTAMENTO ANCASH
03;DEPARTAMENTO APURIMAC
04;DEPARTAMENTO AREQUIPA
05;DEPARTAMENTO AYACUCHO
06;DEPARTAMENTO CAJAMARCA
07;DEPARTAMENTO CUSCO
08;DEPARTAMENTO HUANCAVELICA
09;DEPARTAMENTO HUANUCO
10;DEPARTAMENTO ICA
11;DEPARTAMENTO JUNIN
12;DEPARTAMENTO LA LIBERTAD
13;DEPARTAMENTO LAMBAYEQUE
14;DEPARTAMENTO LIMA
15;DEPARTAMENTO LORETO
16;DEPARTAMENTO MADRE DE DIOS
17;DEPARTAMENTO MOQUEGUA
18;DEPARTAMENTO PASCO
19;DEPARTAMENTO PIURA
20;DEPARTAMENTO PUNO
21;DEPARTAMENTO SAN MARTIN
22;DEPARTAMENTO TACNA
23;DEPARTAMENTO TUMBES
24;PROV. CONST. DEL CALLAO
25;DEPARTAMENTO UCAYALI
